Date,Account,Trade Count
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,3
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,11
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,15
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,18
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,49
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,10
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,13
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,39
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,28
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,23
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,50
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,52
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,18
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,17
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,67
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,5
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,66
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,22
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,97
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,128
2024-01-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,70
2024-01-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,193
2024-01-11,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2
2024-01-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,19
2024-01-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7
2024-01-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,9
2024-01-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,5
2024-01-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,6
2024-01-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3
2024-01-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,53
2024-01-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,46
2024-01-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9
2024-01-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,39
2024-01-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,106
2024-01-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,11
2024-01-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,48
